"name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total","total_enrollment","rank","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","women","native_american","asian","black","hispanic","pacific_islander","white","two_more_races","unkown","foreign","total_minority"
"Aaniiih Nakoda College","Montana","MT","Public","2 Year",NA,2380,2380,2380,2380,291,NA,NA,NA,NA,NA,178,256,0,0,2,0,33,0,0,0,258
"Abilene Christian University","Texas","TX","Private","4 Year",10350,34850,45200,34850,45200,4427,NA,NA,NA,NA,NA,2562,18,46,387,582,0,2959,179,71,185,1212
"Abraham Baldwin Agricultural College","Georgia","GA","Public","2 Year",8474,4128,12602,12550,21024,3458,NA,NA,NA,NA,NA,1822,9,36,407,197,1,2728,30,1,49,680
"Academy College","Minnesota","MN","For Profit","2 Year",NA,17661,17661,17661,17661,127,NA,NA,NA,NA,NA,28,1,10,14,6,3,80,1,12,0,35
"Academy of Art University","California","CA","For Profit","4 Year",16648,27810,44458,27810,44458,15212,NA,NA,NA,NA,NA,8815,70,1092,999,1383,75,3456,312,2652,5173,3931
"Adams State University","Colorado","CO","Public","4 Year",8782,9440,18222,20456,29238,3154,16,44400,81400,56,3,1728,37,37,191,812,10,1776,126,165,0,1213
"Adelphi University","New York","NY","Private","4 Year",16030,38660,54690,38660,54690,7610,NA,NA,NA,NA,NA,5523,10,554,857,1007,6,4058,153,529,436,2587
"Adirondack Community College","New York","NY","Public","2 Year",11660,5375,17035,9935,21595,4247,NA,NA,NA,NA,NA,2437,18,38,126,135,2,3812,76,31,9,395
"Adrian College","Michigan","MI","Private","4 Year",11318,37087,48405,37087,48405,1641,NA,NA,NA,NA,NA,787,3,10,153,80,0,1166,54,174,1,300
"Advanced Technology Institute","Virginia","VA","For Profit","2 Year",NA,13680,13680,13680,13680,717,NA,NA,NA,NA,NA,29,7,19,262,43,1,371,11,3,0,343
"Adventist University of Health Sciences","Florida","FL","Private","4 Year",4200,15150,19350,15150,19350,NA,14,51600,89800,88,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agnes Scott College","Georgia","GA","Private","4 Year",12330,41160,53490,41160,53490,873,14,46000,83600,57,26,867,1,41,288,78,2,284,52,23,104,462
